x,y,yaw,gtx,gty,gtyaw,time1,time2,xmd,ymd,yawmd,xdopp,ydopp,yawdopp
2.4591,-0.0625078,0.00342151,2.37981,-0.007117,-0.001433,1547131038599860,1547131038847282,2.49488,-0.0647939,0.00334913,2.45493,-0.0698303,0.00140916
2.39329,0.0101316,-0.00114071,2.51308,-0.015946,0.000966,1547131038847282,1547131039095503,2.40324,0.00278114,-0.0014293,2.41636,-0.00386061,-0.00109332
2.35972,-0.0765348,-0.00381118,2.48774,-0.010309,-0.001411,1547131039095503,1547131039344764,2.35888,-0.0821584,-0.00347886,2.35432,-0.0924533,-0.00331481
2.45861,0.0559319,0.00410316,2.3763,-0.007479,-0.002463,1547131039344764,1547131039594741,2.43092,0.0553035,0.00406921,2.43197,0.056679,0.0041231
2.41954,-0.018083,-0.00285141,2.38752,-0.018111,-0.004197,1547131039594741,1547131039845620,2.44592,-0.00608754,0.000686519,2.48209,-0.0438911,-0.000794133
2.38801,-0.0362489,-0.000933581,2.367,-0.013195,-0.005328,1547131039845620,1547131040095953,2.4096,0.0158493,-0.00211588,2.41233,-0.0561933,-0.00175796
2.49092,0.0392408,-0.00408699,2.35727,-0.015585,-0.003264,1547131040095953,1547131040345161,2.50109,0.0344784,-0.00376706,2.51658,0.0170606,-0.00376624
2.44881,-0.0521375,-0.00216907,2.34028,-0.004817,3.7e-05,1547131040345161,1547131040596682,2.48629,-0.0519992,-0.00193921,2.4752,-0.0507502,-0.00226111
2.43325,-0.0429817,-0.000457633,2.39408,0.004906,0.002831,1547131040596682,1547131040849245,2.49993,-0.0319338,-0.000919281,2.45053,-0.038434,0.00365581
2.43188,-0.0570198,0.00475545,2.40533,-0.001228,0.005937,1547131040849245,1547131041102067,2.51192,0.0139044,0.0042734,2.44584,-0.0602063,0.00564544
2.41844,-0.0242653,0.00751598,2.42992,0.002512,0.006161,1547131041102067,1547131041353597,2.45182,-0.0270368,0.00808657,2.44063,-0.0412396,0.00757936
